127.0.0.1 - - [28/Jul/2021:11:26:45 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:26:56 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:26:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:27:10 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:30:30 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:30:34 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:30:37 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:55:33 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:55:37 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [28/Jul/2021:11:56:21 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:12:21 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:12:24 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:12:26 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:14:34 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:14:39 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:14:40 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:14:40 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:15:58 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:16:00 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:16:06 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:16:22 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [28/Jul/2021:12:16:35 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 77
